X,Y
58,48
47,45
54,60
39,67
10,86
30,34
19,17
60,80
70,22
52,66
11,89
12,28
32,94
35,59
43,105
59,93
8,56
47,105
45,65
49,91
23,59
32,56
14,18
41,55
32,86
43,83
22,92
26,80
63,51
18,82
35,23
42,36
49,39
17,31
30,98
24,98
9,29
39,25
66,30
11,23
70,28
22,68
13,71
7,53
32,54
47,51
11,49
20,20
63,25
34,96
54,22
56,76
16,62
40,56
15,83
63,55
40,74
39,31
43,77
9,19
62,28
47,101
66,42
28,40
60,34
59,87
14,90
65,61
48,20
57,77
44,74
65,45
64,66
34,40
13,59
18,92
35,49
55,41
4,42
36,36
44,62
4,22
61,35
26,84
37,35
30,94
50,36
44,72
28,34
21,27
58,40
4,38
31,91
38,24
69,19
35,57
12,80
6,24
53,25
29,93
60,42
31,25
27,63
7,25
33,103
42,74
2,28
34,66
23,101
51,91
36,104
58,70
63,81
14,80
37,69
34,38
53,67
26,68
26,100
62,38
69,31
53,93
35,69
72,28
63,59
30,66
11,55
45,17
52,62
36,82
64,40
63,85
62,68
63,75
40,26
16,30
24,96
13,63
50,26
60,78
22,62
51,23
43,39
19,59
15,19
12,30
62,50
72,32
29,59
23,99
24,68
60,64
61,27
41,81
18,50
56,26
60,18
70,40
43,17
48,68
32,70
4,62
57,21
71,23
12,50
32,62
2,48
14,72
46,100
62,40
54,58
19,69
47,53
31,101
15,25
71,29
50,76
15,49
54,70
21,77
40,62
8,80
64,28
31,23
10,92
16,90
49,35
53,75
29,53
50,88
49,55
48,26
17,81
37,89
20,22
7,27
44,96
5,25
54,56
38,84
44,30
43,79
42,88
29,97
7,65
65,19
8,38
46,88
39,51
56,46
20,32
23,83
42,70
55,89
48,58
22,56
22,34
67,21
11,63
31,45
16,48
22,78
63,15
32,102
61,83
67,33
13,27
59,77
71,21
54,18
19,37
36,60
56,50
39,45
46,28
51,47
66,34
14,60
9,57
12,24
39,93
43,25
45,55
61,57
21,51
50,66
10,34
22,94
38,80
18,28
23,67
51,73
50,84
41,87
44,64
54,66
32,18
32,40
62,44
40,92
13,61
60,20
45,51
60,52
28,24
13,73
37,103
56,54
35,21
25,31
18,22
33,23
18,68
30,52
13,17
18,96
13,49
43,53
22,50
57,71
4,54
59,67
63,79
19,63
31,87
59,29
14,40
65,69
61,61
34,60
55,21
29,35
66,60
52,58
37,91
39,47
15,61
36,46
42,92
60,36
13,83
26,42
11,41
42,64
21,17
63,69
15,91
43,81
23,69
34,68
47,55
28,30
44,100
25,77
20,54
30,72
19,25
44,46
42,86
38,22
65,71
52,50
31,47
54,20
9,59
34,22
68,16
13,81
40,52
66,74
52,70
54,54
11,31
38,36
4,58
61,51
30,100
8,30
28,32
23,53
27,43
49,21
8,82
38,106
28,96
59,75
46,80
67,39
28,56
53,57
38,40
44,28
34,44
30,74
45,77
52,72
58,80
64,30
12,40
9,47
53,89
14,58
49,93
61,23
29,83
15,33
27,31
55,23
35,27
65,41
11,33
27,89
63,31
12,68
67,67
18,26
15,43
62,64
70,30
49,43
63,71
56,48
46,58
63,83
44,88
51,19
15,41
39,89
10,28
45,45
48,60
12,58
39,81
19,91
28,18
34,100
17,89
62,36
30,56
28,60
39,73
27,95
50,32
27,47
36,52
50,98
61,25
70,18
28,68
38,72
62,56
44,70
36,38
57,33
23,17
37,57
17,51
43,75
19,29
10,78
51,21
7,37
9,73
41,43
